"transformation","(Intercept)","diff_otu_directunbalanced","diff_otu_modemix","diff_otu_moderare","depth_mu","depth_theta","covariate_eff_sd","confounder_eff_sd","depth_conf_factor"
"ALR","0.0501573","0.0325691","0.0907699","0.6882531","-0.0000116","-0.0005160","-0.0928291","0.1394318","0.1986776"
"Additive (New)Power Ratio","0.7555022","0.0409592","0.0196795","0.0180375","0.0000037","0.0053057","0.0021546","0.0255372","0.0824044"
"Additive Arcsine Ratio","0.0225901","0.1057702","0.0268758","0.6728866","-0.0000053","-0.0013283","-0.1051854","0.2077370","0.0079953"
"Additive Logit Ratio","0.0504786","0.0328908","0.0891064","0.6882027","-0.0000115","-0.0006324","-0.0896854","0.1428289","0.1959956"
"Additive New Logit Ratio","0.2167946","0.2648236","0.1290733","0.5796903","0.0000014","0.0010184","-0.1352356","0.0738215","-0.0441590"
"Additive Power Ratio","0.4022393","0.0913211","-0.0576783","0.0793490","0.0000154","0.0037218","-0.0634193","0.0532902","0.7329875"
"Boxcox in Ratio - William","0.0306066","0.0498842","0.0941011","0.7136711","-0.0000092","-0.0009641","-0.0807167","0.1382313","0.1656883"
"CLR","0.1113279","0.0382828","0.0484900","0.3748910","-0.0000264","-0.0001797","-0.0734211","0.1605696","0.6773365"
"Centered (New)Power Ratio","0.7663530","-0.0091691","0.0248464","-0.0112267","0.0000027","0.0045974","-0.0004710","0.0285720","0.1193889"
"Centered Arcsine Ratio","0.1160494","0.0201841","0.0150918","0.3750728","-0.0000244","-0.0005435","-0.0722162","0.2394557","0.2414411"
"Centered Logit Ratio","0.1122209","0.0396678","0.0472973","0.3747043","-0.0000264","-0.0002848","-0.0715049","0.1635313","0.6658891"
"Centered New Logit Ratio","0.1741270","0.0808205","0.0727550","0.5274257","-0.0000064","0.0020916","-0.1246561","0.1351361","0.0055332"
"Centered Power Ratio","0.3448103","0.0309109","-0.1321974","-0.0093925","0.0000165","0.0034716","-0.0600803","0.0654061","1.0194538"
"ILR","0.7025177","0.0086573","0.1678572","0.1178134","-0.0000046","0.0004400","-0.0160063","0.0180228","0.1158913"
"New Boxcox in Ratio","0.0576113","0.0343120","0.0890256","0.6729843","-0.0000110","-0.0014138","-0.0897438","0.1452335","0.1551161"
